vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
0,0,depot,-23.563536,-46.543798,4.754,0
0,52,837,-23.58474495679707,-46.58430283693359,5.601,0
0,73,6567,-23.578090951987967,-46.58834868460416,7.024,0
0,72,7487,-23.56614114360004,-46.59333482153361,9.203,0
0,70,2406,-23.546878911449102,-46.58938932361937,10.019,0
0,12,17047,-23.553602594269265,-46.58617358375314,10.203,0
0,46,7236,-23.553431046627043,-46.5843843440187,12.265,0
0,9,13386,-23.55377060560334,-46.564152750000005,13.241,0
0,15,1443,-23.546151782420843,-46.568900831900976,13.599,0
0,61,13146,-23.54446292977097,-46.56591579892085,15.245,0
0,31,12193,-23.529689225085143,-46.56692372078599,18.722,0
0,62,2436,-23.507140243407008,-46.543290158986906,18.722,0
0,47,8759,-23.507140243407008,-46.543290158986906,19.51,0
0,2,8952,-23.510935341104506,-46.5367629865399,21.261,0
0,45,12199,-23.521211518177623,-46.54977122277547,22.414,0
0,48,13731,-23.52810085567546,-46.55822429309247,23.415,0
0,36,7349,-23.53257143591436,-46.54970048693182,24.271,0
0,64,13538,-23.52524840022503,-46.54709810990627,24.969,0
0,63,17617,-23.525887473772286,-46.5402948184568,26.086,0
0,7,18219,-23.533355284205673,-46.532969502221704,26.77,0
0,23,9373,-23.539044824311848,-46.53553115459632,28.475,0
0,69,3121,-23.54354994809283,-46.55151960480172,28.808,0
0,39,3592,-23.546209596305935,-46.55301970789138,29.546,0
0,54,5254,-23.54972705912052,-46.5591578104334,30.159,0
0,41,15373,-23.544820876492544,-46.56189750360667,31.22,0
0,18,6876,-23.53685195752789,-46.56762247403209,31.838,0
0,25,13943,-23.537673,-46.573621984996365,33.662,0
0,8,3826,-23.53922405912052,-46.59143579156327,35.149,0
0,24,10997,-23.551946399745763,-46.5959258641528,36.981,0
0,50,2153,-23.568397334439407,-46.594926047319525,37.519,0
0,26,4915,-23.571609373522975,-46.59098631396414,38.613,0
0,11,6473,-23.566130045419925,-46.58206228129149,40.455,0
0,6,1355,-23.582684685442942,-46.58240955675459,41.132,0
0,65,10936,-23.586073721622707,-46.5879331522304,41.778,0
0,32,17024,-23.587596922557612,-46.58181527338564,43.796,0
0,5,8507,-23.604004096070977,-46.57335166080954,44.868,0
0,16,2217,-23.594421562582976,-46.57222007369147,45.525,0
0,38,5004,-23.588694974464776,-46.5738018949449,45.978,0
0,67,13751,-23.585836997230032,-46.57063033181369,45.978,0
0,30,14120,-23.585836997230032,-46.57063033181369,47.498,0
0,53,6829,-23.579240742105014,-46.55755933262392,49.213,0
0,14,2371,-23.565331398860003,-46.5503091448728,49.906,0
9,0,depot,-23.563536,-46.543798,3.09,0
9,37,11351,-23.588259129335224,-46.529960257213354,3.983,0
9,19,12842,-23.59571943228113,-46.53320337676727,5.578,0
9,49,12966,-23.60695263252354,-46.523467523053725,8.89,0
9,51,16158,-23.59035820344507,-46.49647756757465,11.617,0
9,27,19106,-23.609547884772958,-46.479806730019014,12.263,0
9,75,12035,-23.615284180405673,-46.47881749049814,12.826,0
9,1,14934,-23.614918994171617,-46.484327341796984,13.877,0
9,28,2771,-23.61937640770624,-46.49343235762367,16.145,0
9,22,4775,-23.624257693591645,-46.51504239570952,17.597,0
9,68,9033,-23.619856449730182,-46.52845844242909,18.598,0
9,33,1127,-23.622994599106278,-46.53766812565612,20.954,0
9,35,17219,-23.608617076605675,-46.55466245129547,21.739,0
9,71,16481,-23.60162631917597,-46.553632873304835,23.46,0
9,3,14785,-23.59064857146978,-46.541716024842735,24.069,0
9,13,8498,-23.587367804605016,-46.53693386081136,24.47,0
9,34,6640,-23.590499972243073,-46.53498060935425,24.847,0
9,20,8301,-23.59275370191585,-46.53221569233657,25.362,0
9,40,14221,-23.590327547319536,-46.52791982653355,26.329,0
9,57,8887,-23.59891893255525,-46.526440209205944,27.272,0
9,74,13517,-23.60695263252354,-46.523467523053725,27.272,0
9,21,2334,-23.60695263252354,-46.523467523053725,28.192,0
9,29,13406,-23.600587452954596,-46.51769673001902,32.754,0
9,60,17730,-23.560313217871787,-46.50914934518004,33.791,0
9,4,11913,-23.55602382209016,-46.50012257271054,34.804,0
9,42,19138,-23.54818224559163,-46.49505665568827,35.575,0
9,55,7114,-23.547397159587977,-46.502572217179306,35.575,0
9,43,17962,-23.547397159587977,-46.502572217179306,36.663,0
9,44,3966,-23.538359210932555,-46.50664480099833,37.928,0
9,10,14529,-23.527202888424043,-46.50418226181159,39.239,0
9,58,14827,-23.531429419931882,-46.51618034574991,41.05,0
9,17,3241,-23.543475856930534,-46.52814165223038,42.275,0
9,59,7634,-23.55307132944774,-46.534050102068775,43.414,0
9,56,15674,-23.55171571357262,-46.54512703052689,44.547,0
9,66,12981,-23.560454116567616,-46.55083283666111,45.341,0
8,0,depot,-23.553947,-46.658448,0.876,1
8,21,6349,-23.54892611157596,-46.65182114501704,2.076,1
8,48,11008,-23.539113681372296,-46.65672261893353,2.947,1
8,23,14866,-23.531294001384985,-46.656404093946584,3.984,1
8,35,12304,-23.53610606771887,-46.64768840536092,5.328,1
8,2,4217,-23.529348774914855,-46.63675764418032,9.363,1
8,4,3492,-23.50392321954523,-46.66499887852776,10.672,1
8,53,10048,-23.510698124069435,-46.65449774409951,13.941,1
8,64,13849,-23.539683583126543,-46.649154719401,14.378,1
8,61,6448,-23.541467521784305,-46.64533737490615,15.114,1
8,59,9043,-23.539369243407013,-46.638486209821714,16.098,1
8,50,15112,-23.547307871775622,-46.63423572661436,17.184,1
8,6,1481,-23.555771764343227,-46.639553016612446,17.904,1
8,14,5230,-23.561483773241413,-46.636216077298165,19.288,1
8,15,10501,-23.558930444630377,-46.62292373757862,21.093,1
8,72,4459,-23.548520451295477,-46.6093393380461,23.696,1
8,1,10356,-23.57174196006865,-46.61252696591281,24.076,1
8,29,15210,-23.572462086588985,-46.61617543505108,25.758,1
8,5,774,-23.575617566189663,-46.6323139083399,27.32,1
8,18,17569,-23.575325636966944,-46.64764110061168,28.398,1
8,17,15780,-23.565974071325552,-46.64484410309317,28.902,1
8,43,12653,-23.562280655288813,-46.64770279141904,29.482,1
8,69,7764,-23.56471213211952,-46.65274077352985,30.178,1
8,70,10597,-23.56976284096028,-46.65677240798665,31.184,1
8,16,15642,-23.57637083097695,-46.66351199901904,32.458,1
8,9,9531,-23.587241777788428,-46.66746663405275,33.48,1
8,54,7374,-23.579621632812007,-46.67306332431184,33.888,1
8,46,10435,-23.58281037829649,-46.67504969401001,34.131,1
8,20,307,-23.581441665560597,-46.676905669441396,34.131,1
8,51,18051,-23.581441665560597,-46.676905669441396,35.74,1
8,31,3925,-23.59342860727678,-46.68575510560334,36.731,1
8,73,1580,-23.58455515292287,-46.68664013904443,36.96,1
