vehicle_id,node_idx,node_id,lat,lon,cumulative_distance_km,zone_id
8,2,14369,-23.541700665229538,-46.65257086372554,34.85,1
8,67,5959,-23.54385853621104,-46.64825318186277,35.291,1
8,40,7977,-23.547802863696884,-46.64783924999999,36.282,1
8,65,16353,-23.54677167554392,-46.65749567638062,36.67,1
8,27,9412,-23.543513068267124,-46.658854865658775,37.205,1
8,62,14341,-23.539113681372296,-46.65672261893353,38.008,1
8,68,870,-23.53696646891052,-46.66424678602334,38.493,1
8,39,16587,-23.536014182613048,-46.66888585042401,39.338,1
8,19,2939,-23.53816275104938,-46.67683522468111,39.642,1
8,60,211,-23.53705271494464,-46.67955799932098,39.642,1
8,4,5375,-23.53705271494464,-46.67955799932098,40.097,1
8,29,9171,-23.53465951956261,-46.68318834026778,40.706,1
8,63,8663,-23.533493982514855,-46.68901715918395,41.598,1
8,16,5627,-23.530825010964268,-46.69727096142303,43.094,1
8,72,6780,-23.543978039708083,-46.69417000822423,43.29,1
8,52,3978,-23.54512680986941,-46.69271639253138,44.428,1
8,24,5516,-23.542531082982304,-46.68191419135562,44.722,1
8,47,17349,-23.541830575220686,-46.67913146606285,46.55,1
8,59,11634,-23.55768183319866,-46.67439878253224,47.891,1
8,58,15143,-23.56091199537032,-46.687079402094646,48.145,1
8,66,12583,-23.56196060560334,-46.689287097005,49.081,1
8,35,14659,-23.55758096863639,-46.6971332529863,49.767,1
8,56,12750,-23.56369116180969,-46.69803053996195,53.005,1
8,50,16127,-23.58838403941368,-46.68118004657522,53.885,1
8,46,1266,-23.58281037829649,-46.67504969401001,54.293,1
8,41,11829,-23.579621632812007,-46.67306332431184,56.604,1
8,61,5,-23.57224645520286,-46.651870744243745,56.604,1
8,14,3871,-23.57224645520286,-46.651870744243745,57.916,1
8,8,14074,-23.563294082982303,-46.64348420621503,58.964,1
8,33,10284,-23.5688472717122,-46.635170023457746,59.882,1
8,1,4858,-23.567731265755775,-46.626243530931966,61.416,1
8,26,3948,-23.567724104362597,-46.61119233625707,62.474,1
8,25,600,-23.559013992121344,-46.6153654505723,63.793,1
8,31,13106,-23.548520451295477,-46.6093393380461,64.659,1
8,69,9800,-23.546628355819692,-46.6175866110277,66.13,1
8,18,18203,-23.55166351540767,-46.63093168887411,66.724,1
